vaccine,13262
covid,7900
19,7219
coronavirus,4242
covid19,3389
vaccines,3262
astrazeneca,1792
says,1314
get,1276
amp,1248
people,1186
first,1066
pfizer,1037
news,987
take,920
vaccination,859
via,813
next,812
doses,790
health,784
trump,765
oxford,751
new,741
distribution,734
could,689
us,667
week,648
million,631
india,625
one,624
trial,614
canada,595
virus,593
world,586
said,572
need,551
pandemic,540
pm,535
year,533
would,528
russia,496
north,495
available,491
make,490
development,482
cdc,476
global,475
trials,471
united,466
government,464
president,454
uk,443
trudeau,441
start,441
airlines,439
effective,431
questions,430
may,425
vaccinated,418
know,409
korea,403
approved,391
2021,389
data,375
help,374
like,365
visit,362
korean,361
review,358
time,357
10,351
experts,351
safe,345
cases,345
hackers,328
flu,328
even,326
pharma,324
end,319
sputnik,315
today,307
many,306
effects,305
deliveries,303
modi,302
plan,296
approval,295
likely,293
canadians,290
china,288
vote,287
use,287
realdonaldtrump,286
bolsonaro,284
say,284
efficacy,281
going,279
way,275
getting,274
side,273
good,272
work,272
still,271
produce,270
country,268
priority,266
100,266
made,264
public,263
another,262
think,262
moderna,260
results,259
want,258
two,254
developed,253
also,252
biotech,251
minister,250
stop,250
brazil,249
read,249
flights,247
countries,247
see,246
dose,244
south,244
friday,243
flying,240
dr,240
ahmedabad,239
everyone,238
ready,237
union,234
hope,233
emergency,231
december,231
latest,228
live,227
reuters,226
shot,226
days,223
vaccinations,220
rollout,219
deal,218
research,217
soon,213
back,210
hack,209
panel,206
mass,205
meeting,204
companies,203
biden,202
suspected,202
well,200
already,198
months,198
go,197
please,197
medical,196
let,196
cdnpoli,195
military,194
right,194
company,193
given,193
charter,192
line,191
fda,190
science,189
assess,188
around,187
high,187
risk,187
narendramodi,186
advisers,186
university,184
september,183
supply,182
study,181
tuesday,181
safety,180
tried,180
weeks,179
flag,179
clinical,178
wait,178
phase,176
must,176
cold,176
maker,175
long,175
wo,174
immunity,174
covidvaccine,174
quick,174
prime,173
mrna,173
enough,172
according,170
yet,169
former,169
vaccinate,168
much,168
makers,168
2020,167
hyderabad,167
population,166
re,166
candidate,165
early,164
testing,164
test,163
access,163
drug,163
give,162
shots,162
zydus,161
working,161
really,161
ceo,161
disease,160
british,159
workers,158
distribute,157
coming,157
hetero,156
america,156
000,155
years,154
90,154
russian,154
needs,153
scientists,153
manufacturing,152
roll,150
head,150
great,150
set,150
never,149
gets,149
arrives,149
lead,149
taking,149
business,148
top,147
malaysia,147
far,147
part,147
last,146
better,144
tell,143
group,143
care,142
regulator,142
full,142
rt,140
find,140
park,140
germany,139
come,139
philippines,138
mid,138
receive,137
targeted,137
matter,137
got,136
times,135
national,135
pharmaceutical,135
hospitals,135
making,134
free,133
month,133
put,133
three,132
position,132
expected,131
thanks,131
different,131
plans,131
discuss,130
began,130
institute,129
every,129
12,129
run,129
thailand,129
update,128
refuse,128
regulators,128
americans,127
credit,127
process,127
per,127
pune,126
call,126
information,126
firm,126
rate,125
indian,125
together,125
important,124
africa,124
failed,124
state,123
developing,123
best,122
without,122
mistake,121
look,121
